Date,HUR1,HUR2,HUR3,HUR4,MTB1,MTB2,MTB3,MTB4,WAP1,WAP2,WAP3,WAP4,STV1,STV2,STV3,STV4,SNO1,SNO2,SNO3,SNO4,LVN1,LVN2,LVN3,LVN4,MIS1,MIS2,MIS3,MIS4,CMT1,CMT2,CMT3,CMT4,PAR1,PAR2,PAR3,PAR4,WHP1,WHP2,WHP3,WHP4,TML1,TML2,TML3,TML4,MHM1,MHM2,MHM3,MHM4
11/25/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.10,0.00,0.00,0.00
11/26/2019,0.29,0.00,0.06,0.06,0.38,0.00,0.18,0.18,0.06,0.00,0.01,0.01,0.01,0.00,0.06,0.06,0.00,0.00,0.05,0.05,nan,,,0.00,0.00,0.00,0.03,0.03,0.02,0.00,0.01,0.01,0.07,0.00,0.13,0.13,0.00,0.00,0.07,0.07,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.02
11/27/2019,3.41,0.92,0.84,1.76,5.72,3.75,3.51,7.26,1.14,0.43,0.39,0.82,1.86,0.15,0.23,0.38,2.19,0.14,0.72,0.86,nan,,,0.00,0.22,0.16,0.00,0.16,2.71,0.09,0.78,0.87,2.82,0.13,0.41,0.54,0.61,0.10,0.04,0.14,0.56,0.01,0.06,0.07,0.41,0.02,0.06,0.08
11/28/2019,0.79,0.02,0.00,0.02,3.53,1.70,0.77,2.47,0.19,0.48,0.54,1.02,1.10,0.58,0.51,1.09,1.66,0.68,0.22,0.90,nan,,,0.00,0.06,0.32,0.03,0.35,0.48,0.43,0.06,0.49,1.40,0.46,0.38,0.84,0.67,0.36,0.38,0.74,1.87,0.33,0.44,0.77,1.59,0.56,0.44,1.00
11/29/2019,0.32,0.16,0.00,0.16,0.36,0.28,0.36,0.64,0.01,0.09,0.18,0.27,0.01,0.05,0.17,0.22,0.24,0.09,0.14,0.23,nan,,,0.00,0.15,0.01,0.20,0.21,0.09,0.19,0.07,0.26,0.55,0.43,0.15,0.58,0.33,0.08,0.05,0.13,0.66,0.29,0.43,0.72,0.55,0.28,0.42,0.70
11/30/2019,0.00,0.00,0.00,0.00,0.13,0.01,0.03,0.04,nan,0.00,0.02,0.02,0.04,0.00,0.05,0.05,0.03,0.00,0.01,0.01,nan,,,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.22,0.00,0.08,0.08,0.02,0.00,0.09,0.09,0.15,0.00,0.13,0.13,0.06,0.00,0.07,0.07
12/1/2019,0.06,0.08,0.02,0.10,0.16,0.09,0.09,0.18,nan,0.07,0.00,0.07,0.24,0.14,0.07,0.21,0.43,0.10,0.19,0.29,nan,,,0.00,0.09,0.01,0.17,0.18,0.26,0.01,0.20,0.21,0.25,0.07,0.35,0.42,0.13,0.09,0.08,0.17,0.80,0.32,0.63,0.95,0.52,0.23,0.63,0.86
12/2/2019,0.08,0.10,0.00,0.10,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.04,0.20,0.14,0.34,0.12,0.10,0.01,0.11,nan,,,0.00,0.85,0.04,0.00,0.04,0.09,0.07,0.01,0.08,0.01,0.24,0.01,0.25,0.17,0.04,0.00,0.04,0.09,0.13,0.27,0.40,0.04,0.11,0.04,0.15
12/3/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/4/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/5/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/6/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/7/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/8/2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,nan,,,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.06,0.06,0.00,0.00,0.20,0.20,0.01,0.00,0.09,0.09,0.18,0.00,0.41,0.41,0.15,0.00,0.39,0.39
12/9/2019,0.00,0.00,0.07,0.07,0.10,0.12,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,nan,,,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.12,0.09,0.00,0.09,0.00,0.01,0.00,0.01,0.07,0.01,0.00,0.01,0.07,0.01,0.00,0.01
12/10/2019,0.41,0.19,0.10,0.29,1.51,1.21,1.19,2.40,0.15,0.05,0.20,0.25,0.33,0.08,0.50,0.58,0.77,0.05,0.62,0.67,nan,,,0.00,0.31,0.05,0.24,0.29,0.39,0.30,0.30,0.60,1.17,0.27,0.87,1.14,0.21,0.05,0.40,0.45,0.63,0.17,0.59,0.76,0.48,0.17,0.63,0.80
12/11/2019,0.16,0.10,0.26,0.36,0.79,0.12,0.52,0.64,0.11,0.12,0.08,0.20,0.16,0.21,0.06,0.27,0.55,0.15,0.03,0.18,nan,,,0.00,0.03,0.01,0.02,0.03,0.11,0.08,0.06,0.14,0.35,0.22,0.28,0.50,0.16,0.16,0.05,0.21,0.41,0.40,0.04,0.44,0.18,0.33,0.03,0.36
12/12/2019,1.25,0.53,0.54,1.07,2.18,2.42,0.58,3.00,1.50,1.51,0.83,2.34,1.79,1.68,1.12,2.80,3.95,2.22,1.24,3.46,nan,,,0.00,0.50,0.60,0.87,1.47,0.97,0.65,1.02,1.67,2.23,2.28,1.43,3.71,0.34,1.46,1.84,3.30,3.28,1.29,1.57,2.86,2.79,1.92,1.75,3.67
12/13/2019,0.92,0.20,0.32,0.52,1.80,0.50,2.31,2.81,0.31,0.20,0.99,1.19,0.49,0.50,0.85,1.35,0.98,0.11,0.45,0.56,nan,,,0.00,0.05,0.09,0.20,0.29,0.30,0.19,0.19,0.38,1.09,0.23,0.76,0.99,nan,0.15,0.40,0.55,0.65,0.23,0.10,0.33,0.36,0.24,0.10,0.34
12/14/2019,0.58,0.23,0.09,0.32,2.06,1.20,0.98,2.18,0.24,1.14,0.31,1.45,0.38,1.23,0.05,1.28,0.88,0.90,0.00,0.90,nan,,,0.00,0.01,0.14,0.00,0.14,0.04,0.03,0.00,0.03,0.59,1.20,0.00,1.20,0.15,0.36,0.00,0.36,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/15/2019,0.50,0.44,0.31,0.75,0.39,0.24,0.64,0.88,0.21,0.01,0.23,0.24,0.20,0.01,0.22,0.23,0.42,0.00,0.24,0.24,nan,,,0.00,0.04,0.00,0.22,0.22,0.43,0.36,0.23,0.59,0.32,0.27,0.43,0.70,0.19,0.14,0.64,0.78,0.28,0.24,0.89,1.13,0.25,0.27,0.82,1.09
12/16/2019,0.27,0.00,0.22,0.22,0.63,0.09,0.88,0.97,0.20,0.09,0.31,0.40,0.12,0.15,0.13,0.28,0.31,0.01,0.17,0.18,nan,,,0.00,0.27,0.02,0.22,0.24,0.42,0.00,0.42,0.42,0.45,0.00,0.18,0.18,0.09,0.00,0.09,0.09,0.21,0.00,0.05,0.05,0.10,0.03,0.05,0.08
12/17/2019,1.03,0.34,0.09,0.43,3.88,2.06,1.37,3.43,0.44,0.45,0.45,0.90,0.21,0.33,0.25,0.58,0.25,0.21,0.19,0.40,nan,,,0.00,0.73,0.89,0.00,0.89,1.31,0.84,0.44,1.28,0.46,1.02,0.47,1.49,0.62,0.32,0.15,0.47,0.38,0.26,0.33,0.59,0.20,0.20,0.36,0.56
