Date,HUR-OBS,HUR-FCST,MTB-OBS,MTB-FCST,WAP-OBS,WAP-FCST,STV-OBS,STV-FCST,SNO-OBS,SNO-FCST,LVN-OBS,LVN-FCST,MIS-OBS,MIS-FCST,CMT-OBS,CMT-FCST,PAR-OBS,PAR-FCST,WHP-OBS,WHP-FCST,TML-OBS,TML-FCST,MHM-OBS,MHM-FCST
11/25/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.15,0.00,0.10,0.00
11/26/2018,0.29,0.06,0.38,0.18,0.06,0.01,0.01,0.06,0.00,0.05,nan,0.00,0.00,0.03,0.02,0.01,0.07,0.13,0.00,0.07,0.00,0.01,0.00,0.02
11/27/2018,3.41,1.76,5.72,7.26,1.14,0.82,1.86,0.38,2.19,0.86,nan,0.00,0.22,0.16,2.71,0.87,2.82,0.54,0.61,0.14,0.56,0.07,0.41,0.08
11/28/2018,0.79,0.02,3.53,2.47,0.19,1.02,1.10,1.09,1.66,0.90,nan,0.00,0.06,0.35,0.48,0.49,1.40,0.84,0.67,0.74,1.87,0.77,1.59,1.00
11/29/2018,0.32,0.16,0.36,0.64,0.01,0.27,0.01,0.22,0.24,0.23,nan,0.00,0.15,0.21,0.09,0.26,0.55,0.58,0.33,0.13,0.66,0.72,0.55,0.70
11/30/2018,0.00,0.00,0.13,0.04,nan,0.02,0.04,0.05,0.03,0.01,nan,0.00,0.02,0.00,0.02,0.02,0.22,0.08,0.02,0.09,0.15,0.13,0.06,0.07
12/1/2018,0.06,0.10,0.16,0.18,nan,0.07,0.24,0.21,0.43,0.29,nan,0.00,0.09,0.18,0.26,0.21,0.25,0.42,0.13,0.17,0.80,0.95,0.52,0.86
12/2/2018,0.08,0.10,0.00,0.00,nan,0.00,0.04,0.34,0.12,0.11,nan,0.00,0.85,0.04,0.09,0.08,0.01,0.25,0.17,0.04,0.09,0.40,0.04,0.15
12/3/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/4/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/5/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/6/2018,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/7/2018,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/8/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,nan,0.00,0.00,0.01,0.00,0.06,0.00,0.20,0.01,0.09,0.18,0.41,0.15,0.39
12/9/2018,0.00,0.07,0.10,0.12,0.00,0.00,0.00,0.01,0.00,0.02,nan,0.00,0.00,0.01,0.00,0.01,0.12,0.09,0.00,0.01,0.07,0.01,0.07,0.01
12/10/2018,0.41,0.29,1.51,2.40,0.15,0.25,0.33,0.58,0.77,0.67,nan,0.00,0.31,0.29,0.39,0.60,1.17,1.14,0.21,0.45,0.63,0.76,0.48,0.80
12/11/2018,0.16,0.36,0.79,0.64,0.11,0.20,0.16,0.27,0.55,0.18,nan,0.00,0.03,0.03,0.11,0.14,0.35,0.50,0.16,0.21,0.41,0.44,0.18,0.36
12/12/2018,1.25,1.07,2.18,3.00,1.50,2.34,1.79,2.80,3.95,3.46,nan,0.00,0.50,1.47,0.97,1.67,2.23,3.71,0.34,3.30,3.28,2.86,2.79,3.67
12/13/2018,0.92,0.52,1.80,2.81,0.31,1.19,0.49,1.35,0.98,0.56,nan,0.00,0.05,0.29,0.30,0.38,1.09,0.99,nan,0.55,0.65,0.33,0.36,0.34
12/14/2018,0.58,0.32,2.06,2.18,0.24,1.45,0.38,1.28,0.88,0.90,nan,0.00,0.01,0.14,0.04,0.03,0.59,1.20,0.15,0.36,nan,0.00,0.00,0.00
12/15/2018,0.50,0.75,0.39,0.88,0.21,0.24,0.20,0.23,0.42,0.24,nan,0.00,0.04,0.22,0.43,0.59,0.32,0.70,0.19,0.78,0.28,1.13,0.25,1.09
12/16/2018,0.27,0.22,0.63,0.97,0.20,0.40,0.12,0.28,0.31,0.18,nan,0.00,0.27,0.24,0.42,0.42,0.45,0.18,0.09,0.09,0.21,0.05,0.10,0.08
