Datalogger_Name,Column Header,.dat file Input_column for Portal (includes logger ID),.dat file Input_column for Portal (skips logger ID)
Alpental Base,Year,2,1
Alpental Base,Day,3,2
Alpental Base,Time,4,3
Alpental Base,Battery Voltage,5,4
Alpental Base,Temperature,6,5
Alpental Base,Relative Humidity,7,6
Alpental Base,Precipitation,8,7
Alpental Base,Snow Depth,9,8
Alpental Base,24 hour snowfall,10,9
Alpental Mid-Mountain,Year,2,1
Alpental Mid-Mountain,Day,3,2
Alpental Mid-Mountain,Time,4,3
Alpental Mid-Mountain,Battery Voltage,5,4
Alpental Mid-Mountain,Temperature,9,8
Alpental Mid-Mountain,Relative Humidity,10,9
Alpental Mid-Mountain,24 hour snowfall,11,10
Alpental Mid-Mountain,Snow Depth,12,11
Alpental Summit,Year,2,1
Alpental Summit,Day,3,2
Alpental Summit,Time,4,3
Alpental Summit,Battery Voltage,5,4
Alpental Summit,Temperature,6,5
Alpental Summit,Relative Humidity,7,6
Alpental Summit,Wind Speed Minimum,8,7
Alpental Summit,Wind Speed Average,9,8
Alpental Summit,Wind Speed Maximum,10,9
Alpental Summit,Wind Direction,12,11
Alpental Summit,Intermittent Snow,13,12
Berne Snow Camp,Year,2,1
Berne Snow Camp,Day,3,2
Berne Snow Camp,Time,4,3
Berne Snow Camp,Battery Voltage,5,4
Berne Snow Camp,Temperature,6,5
Berne Snow Camp,Relative Humidity,7,6
Berne Snow Camp,Precipitation,8,7
Berne Snow Camp,Snow Depth,9,8
Berne Snow Camp,24 hour snowfall,10,9
Berne Snow Camp,Barometric Pressure,11,10
Blewett Pass,Year,2,1
Blewett Pass,Day,3,2
Blewett Pass,Time,4,3
Blewett Pass,Battery Voltage,5,4
Blewett Pass,Temperature,6,5
Blewett Pass,Relative Humidity,7,6
Blewett Pass,Precipitation,8,7
Blewett Pass,24 hour snowfall,9,8
Blewett Pass,Snow Depth,10,9
Blewett Pass,Equipment Temperature,11,10
Blewett Pass,Barometric Pressure,12,11
Camp Muir,Year,2,1
Camp Muir,Day,3,2
Camp Muir,Time,4,3
Camp Muir,Battery Voltage,5,4
Camp Muir,Temperature,6,5
Camp Muir,Relative Humidity,7,6
Camp Muir,Wind Speed Minimum,8,7
Camp Muir,Wind Speed Average,9,8
Camp Muir,Wind Speed Maximum,10,9
Camp Muir,Wind Direction,12,11
Camp Muir,Solar Pyranometer,13,12
Camp Muir,Net Radiometer,14,13
Chinook Pass Base,Year,2,1
Chinook Pass Base,Day,3,2
Chinook Pass Base,Time,4,3
Chinook Pass Base,Battery Voltage,5,4
Chinook Pass Base,Temperature,6,5
Chinook Pass Base,Relative Humidity,7,6
Chinook Pass Base,Equipment Temperature,8,7
Chinook Pass Base,Precipitation,9,8
Chinook Pass Base,Snow Depth,10,9
Chinook Pass Summit,Year,2,1
Chinook Pass Summit,Day,3,2
Chinook Pass Summit,Time,4,3
Chinook Pass Summit,Battery Voltage,5,4
